,How important is it to you that ads help you find products you are interested in?,Did the ad you saw help you find a product you are interested in?,ad_type,val,Imp-Eff Grp
0,1,1,new,0.22012578616352202,11
1,1,1,old,0.17567567567567569,11
2,1,2,new,0.018867924528301886,12
3,1,2,old,0.02702702702702703,12
4,1,3,new,0.018867924528301886,13
5,1,3,old,0.02702702702702703,13
6,1,4,new,0.012578616352201259,14
7,2,1,new,0.1069182389937107,21
8,2,1,old,0.10810810810810811,21
9,2,2,new,0.025157232704402517,22
10,2,2,old,0.0945945945945946,22
11,2,3,new,0.050314465408805034,23
12,2,4,new,0.006289308176100629,24
13,2,5,new,0.012578616352201259,25
14,3,1,new,0.0880503144654088,31
15,3,1,old,0.17567567567567569,31
16,3,2,new,0.050314465408805034,32
17,3,2,old,0.02702702702702703,32
18,3,3,new,0.07547169811320754,33
19,3,3,old,0.04054054054054054,33
20,3,4,new,0.03773584905660377,34
21,3,4,old,0.06756756756756757,34
22,3,5,new,0.006289308176100629,35
23,3,5,old,0.013513513513513514,35
24,4,1,new,0.050314465408805034,41
25,4,1,old,0.02702702702702703,41
26,4,2,new,0.025157232704402517,42
27,4,2,old,0.02702702702702703,42
28,4,3,new,0.06918238993710692,43
29,4,3,old,0.06756756756756757,43
30,4,4,new,0.031446540880503145,44
31,4,4,old,0.02702702702702703,44
32,4,5,new,0.012578616352201259,45
33,5,1,new,0.025157232704402517,51
34,5,1,old,0.02702702702702703,51
35,5,2,new,0.006289308176100629,52
36,5,3,new,0.012578616352201259,53
37,5,3,old,0.04054054054054054,53
38,5,4,new,0.018867924528301886,54
39,5,4,old,0.013513513513513514,54
40,5,5,new,0.018867924528301886,55
41,5,5,old,0.013513513513513514,55
